"LineNumber","Pattern","Line"
"3","/\*","/**"
"12","\*/"," */"
"28","/\*","/**"
"58","\*/"," */"
"64","/\*","        /**"
"67","\*/","         */"
"72","/\*","        /**"
"79","\*/","         */"
"90","/\*","        /**"
"96","\*/","         */"
"99","/\*","        /**"
"111","\*/","         */"
"114","/\*","        /**"
"119","\*/","         */"
"127","/\*","        /**"
"130","\*/","         */"
"138","/\*","        /**"
"141","\*/","         */"
"144","/\*","        /**"
"146","\*/","         */"
"149","/\*","        /**"
"151","\*/","         */"
"157","/\*","        /**"
"166","\*/","         */"
"169","/\*","        /**"
"171","\*/","         */"
"193","/\*","        /**"
"196","/\*","        /**"
"199","\*/","         */"
"203","/\*","        /**"
"210","\*/","         */"
"213","/\*","        /**"
"220","\*/","         */"
"224","/\*","        /**"
"227","\*/","         */"
"231","/\*","        /**"
"245","\*/","         */"
"248","/\*","        /**"
"251","\*/","         */"
"257","/\*","        /**"
"260","\*/","         */"
"267","/\*","        /**"
"278","\*/","         */"
"284","/\*","        /**"
"292","\*/","         */"
"307","/\*","        /**"
"312","\*/","         */"
"327","/\*","        /**"
"330","\*/","         */"
"333","/\*","        /**"
"336","\*/","         */"
"343","/\*","        /**"
"352","\*/","         */"
"358","/\*","        /**"
"367","\*/","         */"
"383","/\*","        /**"
"386","\*/","         */"
"400","/\*","        /**"
"402","\*/","         */"
"408","/\*","        /**"
"413","\*/","         */"
"456","/\*","        /**"
"459","\*/","         */"
"476","/\*","        /**"
"479","\*/","         */"
"500","/\*","        /**"
"503","\*/","         */"
"513","/\*","        /**"
"516","\*/","         */"
"578","/\*","        /**"
"581","\*/","         */"
"605","/\*","        /**"
"608","\*/","         */"
"620","/\*","        /**"
"623","\*/","         */"
"631","/\*","        /**"
"639","\*/","         */"
"694","/\*","        /**"
"697","\*/","         */"
"702","/\*","        /**"
"705","\*/","         */"
"715","/\*","        /**"
"717","\*/","         */"
"722","/\*","        /**"
"724","\*/","         */"
"729","/\*","        /**"
"731","\*/","         */"
"736","/\*","        /**"
"738","\*/","         */"
"748","/\*","        /**"
"750","\*/","         */"
"755","/\*","        /**"
"757","\*/","         */"
"775","/\*","        /**"
"778","\*/","         */"
"799","/\*","        /**"
"804","\*/","         */"
"848","/\*","        /**"
"851","\*/","         */"
"858","/\*","    /**"
"861","\*/","     */"
"864","/\*","    /**"
"866","\*/","     */"
"869","/\*","    /**"
"871","\*/","     */"
"874","/\*","    /**"
"882","\*/","     */"
"897","/\*","    /**"
"908","\*/","     */"
"924","/\*","    /**"
"927","\*/","     */"
"935","/\*","    /**"
"938","\*/","     */"
"978","/\*","    /**"
"1003","\*/","     */"
"1060","/\*","    /**"
"1070","\*/","     */"
"1091","/\*","    /**"
"1098","\*/","     */"
"1120","/\*","    /**"
"1130","\*/","     */"
"1150","/\*","    /**"
"1161","\*/","     */"
"1163","/\*","    /**"
"1194","\*/","     */"
"1230","/\*","    /**"
"1233","\*/","     */"
"1238","/\*","    /**"
"1241","\*/","     */"
"1243","/\*","    /**"
"1258","\*/","     */"
"1291","/\*","    /**"
"1299","\*/","     */"
"1300","/\*","    /**"
"1313","\*/","     */"
"1375","/\*","    /**"
"1378","\*/","     */"
